NomeCliente; EnderecoCompleto; ValorFatura; NumeroPaginas;















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































Cliente Ficticio 3106; 18072320, R JOSE BERTOLLI,    72, PARQUE SAO BENTO, SOROCABA, SP; 196.69; 10



































Cliente Ficticio 3142; 04256140, R FRATERNO DE MELO ALMADA,82, SAO JOAO CLIMACO, SAO PAULO, SP; 204.24; 10



































Cliente Ficticio 3178; 91040100, R JOAO ZANENGA,   169, APT 401, CRISTO REDENTOR, PORTO ALEGRE, RS; 141.97; 10



































Cliente Ficticio 3214; 02375000, R S CLETO,    26, / A, CASA 2, VILA IRMAOS ARNONI, SAO PAULO, SP; 221.49; 10



































Cliente Ficticio 3250; 14807044, R MARIA GASPAR ANDRADE,   294, FD, VILA MELHADO, ARARAQUARA, SP; 162.01; 10



































Cliente Ficticio 3286; 21221300, AV OLIVEIRA BELO,   540, APT 404, VILA DA PENHA, RIO DE JANEIRO, RJ; 326.65; 10



































Cliente Ficticio 3322; 02126050, R ANTONIO DA SILVA,168,CASA 3, VILA MARIA ALTA, SAO PAULO, SP; 123.64; 10



































Cliente Ficticio 3358; 13054451, R JOANA D ARC,   156, RESIDENCIAL ARUANA, CAMPINAS, SP; 265.33; 10



































Cliente Ficticio 3394; 08011550, R BENEDITO BRANDAO,    73, SAO MIGUEL PAULISTA, SAO PAULO, SP; 239.64; 10



































Cliente Ficticio 3430; 04648070, R LUIS DE FRANCA JUNIOR,265, VL NOVA CALEDONIA, SAO PAULO, SP; 317.26; 10



































Cliente Ficticio 3466; 69097246, TV RIGA,    26, NOVA CIDADE, MANAUS, AM; 219.45; 10



































Cliente Ficticio 3502; 03158120, R BERNARDA PAULISTA,   107, VILA CELESTE, SAO PAULO, SP; 59.53; 10



































Cliente Ficticio 3538; 03187010, R PIRASSUNUNGA,   615, VILA BERTIOGA, SAO PAULO, SP; 0; 10



































Cliente Ficticio 3574; 07142400, R JOSE MARIA DIAS DA SILVA,   196, CASA 1, PARQUE MIKAIL, GUARULHOS, SP; 260.38; 10



































Cliente Ficticio 3610; 26130051, R JOAO FERNANDES NETO,  1297, LJ LOJA, CENTRO, BELFORD ROXO, RJ; 98.20; 10



































Cliente Ficticio 3646; 09912010, AV 7 DE SETEMBRO,931,CS, CENTRO, DIADEMA, SP; 0; 10



































Cliente Ficticio 3682; 89035100, R BENJAMIN CONSTANT,  2438, BL B, APT 706, VILA NOVA, BLUMENAU, SC; 130.99; 10



































Cliente Ficticio 3718; 11700460, R JOAQUIM TEIXEIRA DE CARVALHO,   431, CANTO DO FORTE, PRAIA GRANDE, SP; 75.56; 10



































Cliente Ficticio 3754; 69055370, R HENRIQUE DA SILVA(CJ C BRANCO),   613, PARQUE 10 DE NOVEMBRO, MANAUS, AM; 291.75; 10



































Cliente Ficticio 3790; 17527400, R MTO FLORIANO DE SOUZA,    62, JARDIM CALIFORNIA, MARILIA, SP; 186.12; 10



































Cliente Ficticio 3826; 13465040, R D PEDRO II,   327, APT 12, CENTRO, AMERICANA, SP; 241.04; 10



































Cliente Ficticio 3862; 13045760, R MARTINHO CALSAVARA,351,APT 91 BL B, SWIFT, CAMPINAS, SP; 40.91; 10



































Cliente Ficticio 3898; 13423052, R FELISBERTO PINTO MONTEIRO,339,CASA 01, JARDIM NOVA IGUACU, PIRACICABA, SP; 154.73; 10



































Cliente Ficticio 3934; 03579210, R GONDAREM,    99, JARDIM MARILIA, SAO PAULO, SP; 0; 10



































Cliente Ficticio 3970; 03612010, R CUMBE,331, VILA LAIS, SAO PAULO, SP; 9.60; 10



































Cliente Ficticio 4006; 12232090, R ALFREDO COSLOP,  1043, FD, BOSQUE DOS EUCALIPTOS, SAO JOSE DOS CAMPOS, SP; 122.42; 10













Cliente Ficticio 4020; 21021521, R LEOPOLDINA REGO,   524, APT 104, OLARIA, RIO DE JANEIRO, RJ; 0; 10





















Cliente Ficticio 4042; 22641516, R MACHADO E SILVA,     5, CASA 1, ITANHANGA, RIO DE JANEIRO, RJ; 203.64; 10













Cliente Ficticio 4056; 12236073, R ORLANDO BALBINO DA SILVA,    23, JARDIM TERRAS DO SUL, SAO JOSE DOS CAMPOS, SP; 150.35; 10





















Cliente Ficticio 4078; 20540004, R BR DE MESQUITA,   950, APT 308, GRAJAU, RIO DE JANEIRO, RJ; 470.58; 10
Cliente Ficticio 4079; 21073185, R PARANAPANEMA,  1100, APT 1102, OLARIA, RIO DE JANEIRO, RJ; 211.62; 8
Cliente Ficticio 4080; 09655000, AV DO TABOAO,   929, BL 2, APT 34, TABOAO, SAO BERNARDO DO CAMPO, SP; 271.10; 10
Cliente Ficticio 4081; 13423676, R JOAQUIM ANTONIO DA SILVA,    18, FD, GARCAS, PIRACICABA, SP; 315.20; 10
Cliente Ficticio 4082; 13465660, R FORTUNATO FARAONE,   861, JARDIM GIRASSOL, AMERICANA, SP; 75.73; 12
Cliente Ficticio 4083; 20261065, R DO BISPO,   160, BL A, APT 1302, RIO COMPRIDO, RIO DE JANEIRO, RJ; 427.61; 12








Cliente Ficticio 4092; 04653180, R LEONIDAS MOREIRA,18,CASA 03, VILA INGLESA, SAO PAULO, SP; 239.19; 10










Cliente Ficticio 4103; 07033030, R LUIS BENTO DAMIANI,    75, JARDIM MUNHOZ, GUARULHOS, SP; 222.19; 8
Cliente Ficticio 4104; 09911000, R S FRANCISCO DE ASSIS,   373, APT 162, CENTRO, DIADEMA, SP; 313.95; 8
Cliente Ficticio 4105; 81220130, R NELSON FERREIRA DA LUZ,   431, BL A, APT 11, CAMPO COMPRIDO, CURITIBA, PR; 136.23; 10
Cliente Ficticio 4106; 05551140, R S JOSE,65,CASA, JARDIM RAPOSO TAVARES, SAO PAULO, SP; 165.97; 10
Cliente Ficticio 4107; 90420111, R VASCO DA GAMA,   585, ED ED. PORTO, APT 504, BOM FIM, PORTO ALEGRE, RS; 466.15; 12
Cliente Ficticio 4108; 13348400, R JORDALINO PIETRO BOM,    44, CASA 3, JARDIM MORADA DO SOL, INDAIATUBA, SP; 116.69; 12





Cliente Ficticio 4114; 04186100, AV CARLOS LIVIERO,1213,FR, VILA LIVIERO, SAO PAULO, SP; 159.51; 10













Cliente Ficticio 4128; 04225030, R LICIO DE MIRANDA,928,CASA 5, VILA CARIOCA, SAO PAULO, SP; 114.98; 10





















Cliente Ficticio 4150; 85811050, R SETE DE SETEMBRO,  4050, APT 142, INDEPENDENCIA, CASCAVEL, PR; 166.15; 10













Cliente Ficticio 4164; 08285010, R SERRANA,  1013, CASA 6, CIDADE LIDER, SAO PAULO, SP; 141.99; 10





















Cliente Ficticio 4186; 08060120, AV AFONSO LOPES DE BAIAO,    95, VILA JACUI, SAO PAULO, SP; 0; 10













Cliente Ficticio 4200; 23070220, EST DO CAMPINHO,  2795, CASA 4, CAMPO GRANDE, RIO DE JANEIRO, RJ; 25.94; 10






Cliente Ficticio 4207; 90640140, R CARLOS PESSOA DE BRUM,    90, APT 105, SANTO ANTONIO, PORTO ALEGRE, RS; 284.92; 8
Cliente Ficticio 4208; 49065130, R AMANDO FONTES,   177, INDUSTRIAL, ARACAJU, SE; 5.30; 8
Cliente Ficticio 4209; 08250650, R SILVIO BARBINI,458, CONJ RES JOSE BONIFACIO, SAO PAULO, SP; 238.43; 10
Cliente Ficticio 4210; 04459210, R JORGE LUIS DOS SANTOS,    95, PEDREIRA, SAO PAULO, SP; 406.12; 10
Cliente Ficticio 4211; 03015000, AV CELSO GARCIA,  1549, BRAS, SAO PAULO, SP; 961.80; 12
Cliente Ficticio 4212; 71010083, QE, QD 04, CJ H, CASA 35, GUARA I, BRASILIA, DF; 634.43; 12









Cliente Ficticio 4222; 31540390, R LAGOA DOS PATOS,   110, CASA 06, JARDIM LEBLON, BELO HORIZONTE, MG; 356.06; 10













Cliente Ficticio 4236; 17013710, R CAP ALCIDES,6,QUADRA 6  - 45 BLOCO VERDA MAR APT 23, VILA CARDIA, BAURU, SP; 331.88; 10





















Cliente Ficticio 4258; 78090658, R B-2,   171, JARDIM NOSSA SENHORA APARECIDA, CUIABA, MT; 19.94; 10













Cliente Ficticio 4272; 14160050, R SEBASTIAO SAMPAIO,368, CENTRO, SERTAOZINHO, SP; 226.41; 10












Cliente Ficticio 4285; 74820290, R 1016,474,QD 51,  LT 31, SETOR PEDRO LUDOVICO, GOIANIA, GO; 210.57; 8
Cliente Ficticio 4286; 90520060, R CEL FEIJO,  1031, APT 402, SAO JOAO, PORTO ALEGRE, RS; 259.30; 8
Cliente Ficticio 4287; 13345750, R DEUSDEDITH GODINHO,150, JARDIM DO VALLE II, INDAIATUBA, SP; 100.11; 10
Cliente Ficticio 4288; 30240150, R CH PEREIRA,17,AP 302, SERRA, BELO HORIZONTE, MG; 353.19; 10
Cliente Ficticio 4289; 29043145, R ARLETHE BUAIZ,    97, / A, MARUIPE, VITORIA, ES; 204.21; 12
Cliente Ficticio 4290; 09920590, R DOS RUBIS,50,CS 2, JARDIM DONINI, DIADEMA, SP; 263.85; 12



Cliente Ficticio 4294; 71693004, SÃO JOSÉ, QD 03, CASA 48, SAO SEBASTIAO, BRASILIA, DF; 362.64; 10













Cliente Ficticio 4308; 97105000, Q Q06-FERNANDO FERRARI,    18, FERNANDO FERRARI, SANTA MARIA, RS; 331.84; 10





















Cliente Ficticio 4330; 12235340, R MAR DEL PLATA,   505, JARDIM AMERICA, SAO JOSE DOS CAMPOS, SP; 219.71; 10













Cliente Ficticio 4344; 58037150, R MARIA APARECIDA NEIVA DE GOUVEIA,72,AP 202, BESSA, JOAO PESSOA, PB; 165.95; 10





















Cliente Ficticio 4366; 01224030, R FORTUNATO,   291, BL 1, APT 301, VILA BUARQUE, SAO PAULO, SP; 81.48; 10




Cliente Ficticio 4371; 49087469, R DESP SEBASTO,   365, CASA 05, SANTOS DUMONT, ARACAJU, SE; 101.31; 10
Cliente Ficticio 4372; 29101780, R GOIANIA,   140, ED FREEDOM, APT 103, ITAPUA, VILA VELHA, ES; 211.59; 10
Cliente Ficticio 4373; 13015081, R DR QUIRINO,   986, CENTRO, CAMPINAS, SP; 107.43; 10
Cliente Ficticio 4374; 22430090, R PE ACHOTEGUI,    51, APT 1101, LEBLON, RIO DE JANEIRO, RJ; 517.52; 10
Cliente Ficticio 4375; 02466120, R ALBERTO SILVA,    69, CASA 2, IMIRIM, SAO PAULO, SP; 120.67; 10
Cliente Ficticio 4376; 04207000, R LINO COUTINHO,    75, BL 2/ARVOREDO, APT 194, IPIRANGA, SAO PAULO, SP; 188.84; 10
Cliente Ficticio 4377; 04191220, R MANUEL JOSE RODRIGUES,   131, VILA CARAGUATA, SAO PAULO, SP; 19.41; 10
Cliente Ficticio 4378; 12525000, R MARIA APARECIDA M NOCITTI,   890, FD, CHACARA TROPICAL, POTIM, SP; 116.94; 10
Cliente Ficticio 4379; 05541030, R TRAJANO REIS,    47, BL A2, ED CANNES, APT 121, JARDIM DAS VERTENTES, SAO PAULO, SP; 156.70; 10
Cliente Ficticio 4380; 29047540, R DANIEL ABREU MACHADO,   310, APT 207, ITARARE, VITORIA, ES; 153.34; 10
Cliente Ficticio 4381; 17509032, AV REPUBLICA,1882, PALMITAL, MARILIA, SP; 138.06; 10
Cliente Ficticio 4382; 13468490, R IBIRAPUERA,  1705, JARDIM IPIRANGA, AMERICANA, SP; 90.33; 10
Cliente Ficticio 4383; 88058648, R 3 MARIAS,521,FU N 4, INGLESES DO RIO VERMELHO, FLORIANOPOLIS, SC; 251.13; 10
Cliente Ficticio 4384; 96215050, R VELEIROS,   146, PARQUE MARINHA, RIO GRANDE, RS; 167.64; 12
Cliente Ficticio 4385; 11065201, AV PRES WILSON,   165, BL RIVIERA, APT 914, JOSE MENINO, SANTOS, SP; 141.53; 12
















Cliente Ficticio 4402; 13218040, R DR ELOY CHAVES,   426, APT 202, PONTE DE SAO JOAO, JUNDIAI, SP; 75.66; 10













Cliente Ficticio 4416; 96212360, R PEDRO DE SA FREITAS,   426, VILA RURAL, RIO GRANDE, RS; 97.88; 10












Cliente Ficticio 4429; 82640570, R PRF RODOLFO BELZ,   790, BL 5, APT 22, SANTA CANDIDA, CURITIBA, PR; 209.24; 8
Cliente Ficticio 4430; 31010070, R HERMILO ALVES,   327, APT 404, SANTA TEREZA, BELO HORIZONTE, MG; 250.47; 8
Cliente Ficticio 4431; 08062040, R MIGUEL DE OLIVEIRA,   181, VILA MONTE SANTO, SAO PAULO, SP; 0; 10
Cliente Ficticio 4432; 60834065, R TANCREDO DE SOUZA CARVALHO,   381, EDSON QUEIROZ, FORTALEZA, CE; 267.05; 10
Cliente Ficticio 4433; 58051820, R TEN FRANCISCO DE ASSIS MOREIRA,   338, BANCARIOS, JOAO PESSOA, PB; 263.56; 12
Cliente Ficticio 4434; 06045420, V TRANSVERSAL SUL,   130, BL H, APT 2, NOVO OSASCO, OSASCO, SP; 233.01; 12



Cliente Ficticio 4438; 06053040, AV FLORA,   463, APT 72, JAGUARIBE, OSASCO, SP; 182.10; 10






Cliente Ficticio 4445; 87033400, AV DA SOPHIA RASGULAEFF,149,APTO 1, JARDIM ALVORADA, MARINGA, PR; 156.91; 10

Cliente Ficticio 4447; 86060070, R PEDRO MARCOS PRADO,2, LIMA AZEVEDO, LONDRINA, PR; 169.11; 12




Cliente Ficticio 4452; 13504362, R 18,  3466, PARQUE UNIVERSITARIO, RIO CLARO, SP; 0; 10





















Cliente Ficticio 4474; 80620100, R STA CATARINA,    65, BL A, SALA 504, AGUA VERDE, CURITIBA, PR; 259.57; 10













Cliente Ficticio 4488; 04538110, R VIRADOURO,    58, APT 71, ITAIM BIBI, SAO PAULO, SP; 216.84; 10


Cliente Ficticio 4491; 05203380, R IGACI,209, VILA FANTON, SAO PAULO, SP; 188.43; 8
Cliente Ficticio 4492; 06814160, EST S JOSE,1431,CASA 1, JARDIM SAO MARCOS, EMBU DAS ARTES, SP; 205.27; 8
Cliente Ficticio 4493; 13040066, R CEL JOB DE FIGUEIREDO,   897, FD, JARDIM NOVA EUROPA, CAMPINAS, SP; 21.58; 10
Cliente Ficticio 4494; 69080340, R PAULO LOPES,   357, CASA 4, COROADO, MANAUS, AM; 787.20; 10
Cliente Ficticio 4495; 90220210, R CD DE PORTO ALEGRE,   448, APT 22, FLORESTA, PORTO ALEGRE, RS; 246.45; 12
Cliente Ficticio 4496; 08770090, R VER DOUTOR ABILIO DE MELLO PINTO,    54, VILA INDUSTRIAL, MOGI DAS CRUZES, SP; 96.52; 12













Cliente Ficticio 4510; 12246900, AV ALFREDO IGNACIO NOGUEIRA PENIDO,255,SL 403, PARQUE RESIDENCIAL AQUARIUS, SAO JOSE DOS CAMPOS, SP; 337.66; 10













Cliente Ficticio 4524; 13401554, R ANDRE KEREKES,191, PAULICEIA, PIRACICABA, SP; 162.49; 10



Cliente Ficticio 4528; 11718280, R OSVALDO FIGUEIREDO,   292, CASA A, QUIETUDE, PRAIA GRANDE, SP; 140.29; 8
Cliente Ficticio 4529; 13209460, R AURORA GERMANO DE LEMOS,   131, APT 43, VILA GUARANI, JUNDIAI, SP; 275.41; 8
Cliente Ficticio 4530; 13575700, R MARIA STELLA GRASSI REALI,35, JARDIM BICAO, SAO CARLOS, SP; 0; 10
Cliente Ficticio 4531; 89036000, R JOAO PESSOA,601,540, VELHA, BLUMENAU, SC; 0; 10
Cliente Ficticio 4532; 11013001, R JOAO PESSOA,23, CENTRO, SANTOS, SP; 142.71; 12
Cliente Ficticio 4533; 26285110, R ALBERTO DE MELO,   113, CENTRO, NOVA IGUACU, RJ; 104.68; 12












Cliente Ficticio 4546; 02421050, R BERNARDO DE ARAUJO CARVALHAL,   232, PARQUE MANDAQUI, SAO PAULO, SP; 0; 10













Cliente Ficticio 4560; 14098240, R DOMINGOS FAVERO,   145, JARDIM ROBERTO BENEDETTI, RIBEIRAO PRETO, SP; 360.68; 10





















Cliente Ficticio 4582; 06462120, R DUARTE DA COSTA,936, PARQUE IMPERIAL, BARUERI, SP; 114.88; 10













Cliente Ficticio 4596; 09761100, R ITUA,   270, FD, JARDIM PETRONI, SAO BERNARDO DO CAMPO, SP; 276.87; 10





















Cliente Ficticio 4618; 96810380, TV THOMAS,   136, CENTRO, SANTA CRUZ DO SUL, RS; 166.96; 10













Cliente Ficticio 4632; 09570660, R OTAVIO MANGABEIRA,    57, OSVALDO CRUZ, SAO CAETANO DO SUL, SP; 274.10; 10





















Cliente Ficticio 4654; 21863428, R JACUNDA,   287, COND RES FLORENCA, ED 16, CASA 104, BANGU, RIO DE JANEIRO, RJ; 193.97; 10













Cliente Ficticio 4668; 05424020, R PRF CARLOS REIS,   125, PINHEIROS, SAO PAULO, SP; 398.21; 10


Cliente Ficticio 4671; 72005100, VICENTE PIRES, RUA 01, CH 07, LT 13, TAGUATINGA, BRASILIA, DF; 149.27; 8
Cliente Ficticio 4672; 90050002, R JOSE DO PATROCINIO,  1250, CIDADE BAIXA, PORTO ALEGRE, RS; 114.87; 8
Cliente Ficticio 4673; 57035260, AV DR JOSE SAMPAIO LUZ,   417, ED SANTO ANTONIO, APT 104, PONTA VERDE, MACEIO, AL; 201.01; 10
Cliente Ficticio 4674; 01106100, R BENEDITA SA BARBOSA,   132, LUZ, SAO PAULO, SP; 102.28; 10
